,distance,mean,condition,session,percentages
1,1,3,fc,1,1
2,2,3,fc,1,1
3,3,3,fc,1,1
4,4,3,fc,1,1
5,5,3,fc,1,1
6,1,3,on,1,1
7,2,3,on,1,1
8,3,3,on,1,1
9,4,3,on,1,1
10,5,3,on,1,1
11,1,3,tw,1,1
12,2,3,tw,1,1
13,3,3,tw,1,1
14,4,3,tw,1,1
15,5,3,tw,1,1
16,1,3,th,1,1
17,2,3,th,1,1
18,3,3,th,1,1
19,4,3,th,1,1
20,5,3,th,1,1
21,1,3,tc,1,1
22,2,3,tc,1,1
23,3,3,tc,1,1
24,4,3,tc,1,1
25,5,3,tc,1,1
26,1,3,fc,2,1
27,2,3,fc,2,1
28,3,3,fc,2,1
29,4,3,fc,2,1
30,5,3,fc,2,1
31,1,1.375,on,2,0.458333333
32,2,2.725,on,2,0.908333333
33,3,2.95,on,2,0.983333333
34,4,1.95,on,2,0.65
35,5,2.55,on,2,0.85
36,1,1.65,tw,2,0.55
37,2,2.225,tw,2,0.741666667
38,3,2.2875,tw,2,0.7625
39,4,2.9,tw,2,0.966666667
40,5,2.025,tw,2,0.675
41,1,2.875,th,2,0.958333333
42,2,2.9875,th,2,0.995833333
43,3,2.875,th,2,0.958333333
44,4,2.975,th,2,0.991666667
45,5,3,th,2,1
46,1,0.875,tc,2,0.291666667
47,2,0.1375,tc,2,0.045833333
48,3,0.3,tc,2,0.1
49,4,0.725,tc,2,0.241666667
50,5,1.375,tc,2,0.458333333
51,1,3,fc,3,1
52,2,3,fc,3,1
53,3,3,fc,3,1
54,4,3,fc,3,1
55,5,3,fc,3,1
56,1,0.9625,on,3,0.320833333
57,2,2.4625,on,3,0.820833333
58,3,2.8375,on,3,0.945833333
59,4,1.675,on,3,0.558333333
60,5,2.425,on,3,0.808333333
61,1,1.475,tw,3,0.491666667
62,2,2.15,tw,3,0.716666667
63,3,1.95,tw,3,0.65
64,4,2.45,tw,3,0.816666667
65,5,1.5,tw,3,0.5
